Survived,PassengerId,Pclass,Age,SibSp,Parch,Fare,FamilySize,IsAlone,Fare_log,TicketGroupSize,Sex_male,Embarked_Q,Embarked_S,Title_Miss,Title_Mr,Title_Mrs,Title_Rare,Deck_B,Deck_C,Deck_D,Deck_E,Deck_F,Deck_G,Deck_T,Deck_U,AgeBin_Child,AgeBin_MidAge,AgeBin_Senior,AgeBin_Teen
0.0,1,3,22.0,1,0,7.25,2,0,2.1102132003465894,1,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
1.0,2,1,38.0,1,0,71.2833,2,0,4.2805931204649,2,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
1.0,3,3,26.0,0,0,7.925,1,1,2.188856327665703,1,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
1.0,4,1,35.0,1,0,53.1,2,0,3.9908341858524357,2,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
0.0,5,3,35.0,0,0,8.05,1,1,2.2027647577118348,1,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
0.0,6,3,29.0,0,0,8.4583,1,1,2.246892662898172,1,True,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
0.0,7,1,54.0,0,0,51.8625,1,1,3.967694202798607,2,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False
0.0,8,3,2.0,3,1,21.075,5,0,3.094445746490024,5,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False
1.0,9,3,27.0,0,2,11.1333,3,0,2.4959537387180646,3,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
1.0,10,2,14.0,1,0,30.0708,2,0,3.436268471383741,2,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True
1.0,11,3,4.0,1,1,16.7,3,0,2.8735646395797834,3,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
1.0,12,1,58.0,0,0,26.55,1,1,3.3160025355989236,1,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
0.0,13,3,20.0,0,0,8.05,1,1,2.2027647577118348,1,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True
0.0,14,3,39.0,1,5,31.275,7,0,3.4742929367327062,7,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
0.0,15,3,14.0,0,0,7.8542,1,1,2.180891922715322,1,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
1.0,16,2,55.0,0,0,16.0,1,1,2.833213344056216,1,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False
0.0,17,3,2.0,4,1,29.125,6,0,3.405355391810819,6,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False
1.0,18,2,29.0,0,0,13.0,1,1,2.639057329615259,1,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
0.0,19,3,31.0,1,0,18.0,2,0,2.9444389791664403,2,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
1.0,20,3,35.0,0,0,7.225,1,1,2.1071782966514356,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
0.0,21,2,35.0,0,0,26.0,1,1,3.295836866004329,2,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
1.0,22,2,34.0,0,0,13.0,1,1,2.639057329615259,1,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
1.0,23,3,15.0,0,0,8.0292,1,1,2.2004637699272855,1,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
1.0,24,1,28.0,0,0,35.5,1,1,3.597312260588446,1,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0.0,25,3,8.0,3,1,21.075,5,0,3.094445746490024,5,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False
1.0,26,3,38.0,1,5,31.3875,7,0,3.4777725458882283,7,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
0.0,27,3,29.0,0,0,7.225,1,1,2.1071782966514356,1,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
0.0,28,1,19.0,3,2,263.0,6,0,5.575949103146316,6,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True
1.0,29,3,22.0,0,0,7.8792,1,1,2.1837114628556327,1,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
0.0,30,3,29.0,0,0,7.8958,1,1,2.1855792552411137,1,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
0.0,31,1,40.0,0,0,27.7208,1,1,3.357621598945279,1,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
1.0,32,1,35.0,1,0,146.5208,2,0,4.993969182787072,3,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False
1.0,33,3,22.0,0,0,7.75,1,1,2.169053700369523,1,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
0.0,34,2,66.0,0,0,10.5,1,1,2.4423470353692043,1,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False
0.0,35,1,28.0,1,0,82.1708,2,0,4.420896324687287,2,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
0.0,36,1,42.0,1,0,52.0,2,0,3.970291913552122,2,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False
1.0,37,3,29.0,0,0,7.2292,1,1,2.1076888046179385,1,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
0.0,38,3,21.0,0,0,8.05,1,1,2.2027647577118348,1,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
0.0,39,3,18.0,2,0,18.0,3,0,2.9444389791664403,2,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
1.0,40,3,14.0,1,0,11.2417,2,0,2.5048481563289,2,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
0.0,41,3,40.0,1,0,9.475,2,0,2.3489914658082016,1,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
0.0,42,2,27.0,1,0,21.0,2,0,3.091042453358316,2,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
0.0,43,3,29.0,0,0,7.8958,1,1,2.1855792552411137,1,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
1.0,44,2,3.0,1,2,41.5792,4,0,3.7513658711253766,4,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False
1.0,45,3,19.0,0,0,7.8792,1,1,2.1837114628556327,1,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
0.0,46,3,29.0,0,0,8.05,1,1,2.2027647577118348,1,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
0.0,47,3,29.0,1,0,15.5,2,0,2.803360380906535,2,True,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
1.0,48,3,22.0,0,0,7.75,1,1,2.169053700369523,1,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
0.0,49,3,29.0,2,0,21.6792,3,0,3.121448204868825,3,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
0.0,50,3,18.0,1,0,17.8,2,0,2.9338568698359033,2,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True
0.0,51,3,7.0,4,1,39.6875,6,0,3.705920919968788,7,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False
0.0,52,3,21.0,0,0,7.8,1,1,2.174751721484161,1,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
1.0,53,1,49.0,1,0,76.7292,2,0,4.353230991152628,3,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False
1.0,54,2,29.0,1,0,26.0,2,0,3.295836866004329,2,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
0.0,55,1,65.0,0,1,61.9792,2,0,4.142804513146981,2,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False
1.0,56,1,29.0,0,0,35.5,1,1,3.597312260588446,1,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
1.0,57,2,21.0,0,0,10.5,1,1,2.4423470353692043,1,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
0.0,58,3,28.5,0,0,7.2292,1,1,2.1076888046179385,1,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
1.0,59,2,5.0,1,2,27.75,4,0,3.3586377672433594,4,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False
0.0,60,3,11.0,5,2,46.9,8,0,3.8691155044168695,8,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False
0.0,61,3,22.0,0,0,7.2292,1,1,2.1076888046179385,1,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
1.0,62,1,38.0,0,0,80.0,1,1,4.394449154672439,2,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
0.0,63,1,45.0,1,0,83.475,2,0,4.436455632600354,2,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False
0.0,64,3,4.0,3,2,27.9,6,0,3.3638415951183864,6,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False
0.0,65,1,29.0,0,0,27.7208,1,1,3.357621598945279,1,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
1.0,66,3,4.0,1,1,15.2458,3,0,2.7878344138303452,3,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False
1.0,67,2,29.0,0,0,10.5,1,1,2.4423470353692043,1,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
0.0,68,3,19.0,0,0,8.1583,1,1,2.2146605719425225,1,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True
1.0,69,3,17.0,4,2,7.925,7,0,2.188856327665703,1,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
0.0,70,3,26.0,2,0,8.6625,3,0,2.2682524139135403,1,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
0.0,71,2,32.0,0,0,10.5,1,1,2.4423470353692043,1,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
0.0,72,3,16.0,5,2,46.9,8,0,3.8691155044168695,8,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
0.0,73,2,21.0,0,0,73.5,1,1,4.310799125385514,7,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
0.0,74,3,26.0,1,0,14.4542,2,0,2.737880811060884,2,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
1.0,75,3,32.0,0,0,56.4958,1,1,4.051711901657239,8,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
0.0,76,3,25.0,0,0,7.65,1,1,2.157559320943788,1,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
0.0,77,3,29.0,0,0,7.8958,1,1,2.1855792552411137,1,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
0.0,78,3,29.0,0,0,8.05,1,1,2.2027647577118348,1,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
1.0,79,2,0.83,0,2,29.0,3,0,3.4011973816621555,3,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False
1.0,80,3,30.0,0,0,12.475,1,1,2.600836116795061,2,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
0.0,81,3,22.0,0,0,9.0,1,1,2.302585092994046,1,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
1.0,82,3,29.0,0,0,9.5,1,1,2.3513752571634776,1,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
1.0,83,3,22.0,0,0,7.7875,1,1,2.1733302571367834,1,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
0.0,84,1,28.0,0,0,47.1,1,1,3.8732821771117156,2,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
1.0,85,2,17.0,0,0,10.5,1,1,2.4423470353692043,1,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
1.0,86,3,33.0,3,0,15.85,4,0,2.8243506567983707,2,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
0.0,87,3,16.0,1,3,34.375,5,0,3.5660053559634015,5,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True
0.0,88,3,29.0,0,0,8.05,1,1,2.2027647577118348,1,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
1.0,89,1,23.0,3,2,263.0,6,0,5.575949103146316,6,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
0.0,90,3,24.0,0,0,8.05,1,1,2.2027647577118348,1,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
0.0,91,3,29.0,0,0,8.05,1,1,2.2027647577118348,1,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
0.0,92,3,20.0,0,0,7.8542,1,1,2.180891922715322,1,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True
0.0,93,1,46.0,1,0,61.175,2,0,4.1299529896894684,2,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False
0.0,94,3,26.0,1,2,20.575,4,0,3.0715352369694915,4,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
0.0,95,3,59.0,0,0,7.25,1,1,2.1102132003465894,1,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False
0.0,96,3,29.0,0,0,8.05,1,1,2.2027647577118348,1,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
0.0,97,1,71.0,0,0,34.6542,1,1,3.57386695198272,1,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1.0,98,1,23.0,0,1,63.3583,2,0,4.164465907853638,2,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
1.0,99,2,34.0,0,1,23.0,2,0,3.1780538303479458,2,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
0.0,100,2,34.0,1,0,26.0,2,0,3.295836866004329,2,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
0.0,101,3,28.0,0,0,7.8958,1,1,2.1855792552411137,1,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
0.0,102,3,29.0,0,0,7.8958,1,1,2.1855792552411137,1,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
0.0,103,1,21.0,0,1,77.2875,2,0,4.360387947851531,2,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
0.0,104,3,33.0,0,0,8.6542,1,1,2.267393053825037,1,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
0.0,105,3,37.0,2,0,7.925,3,0,2.188856327665703,1,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
0.0,106,3,28.0,0,0,7.8958,1,1,2.1855792552411137,1,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
